Nom Ville,Latitude,Longitude
Agen,44.2,0.63
Ajaccio,41.91,8.73
AlenÃ§on,48.43,0.08
Amiens,49.9,2.3
Angers,47.46,-0.55
AngoulÃªme,45.65,0.15
Annecy,45.9,6.11
Arras,50.28,2.78
Auch,43.65,0.58
Aurillac,44.91,2.45
Auxerre,47.8,3.56
Avignon,43.95,4.81
Bar-le-Duc,48.78,5.16
Bastia,42.7,9.45
Beauvais,49.43,2.08
Belfort,47.63,6.86
BesanÃ§on,47.25,6.03
Blois,47.58,1.33
Bobigny,48.9,2.45
Bordeaux,44.833333,-0.566667
Bourg-en-Bresse,46.2,5.216667
Bourges,47.083333,2.4
Caen,49.183333,-0.35
Cahors,44.433333,1.433333
Carcassonne,43.216667,2.35
Cergy,49.033333,2.066667
ChÃ¢lons-en-Champagne,48.958333,4.366667
ChambÃ©ry,45.566667,5.933333
Charleville-MÃ©ziÃ¨res,49.766667,4.716667
Chartres,48.45,1.5
ChÃ¢teauroux,46.816667,1.7
ChÃ¢teauroux,44.616667,6.516667
Chaumont,46.833333,2.75
Chaumont,46.4,5.883333
Chaumont,48.116667,5.133333
Chaumont,48.833333,0.333333
Chaumont,48.316667,3.1
Clermont-Ferrand,45.783333,3.083333
Colmar,48.083333,7.366667
CrÃ©teil,48.783333,2.466667
Dijon,47.316667,5.016667
Ã‰pinal,48.183333,6.45
Ã‰vreux,49.016667,1.15
Ã‰vry,48.266667,3.25
Ã‰vry,48.633333,2.45
Foix,42.966667,1.6
Grenoble,45.166667,5.716667
GuÃ©ret,46.166667,1.866667
Laon,49.566667,3.616667
Lons-le-Saunier,46.666667,5.55
Lyon,45.75,4.85
Melun,48.533333,2.666667
Mende,44.516667,3.5
Mont-de-Marsan,43.883333,-0.5
Nancy,48.683333,6.2
Nanterre,48.9,2.2
Nantes,47.216667,-1.55
Nevers,46.983333,3.166667
Nice,43.7,7.25
NÃ®mes,43.833333,4.35
OrlÃ©ans,47.916667,1.9
PÃ©rigueux,45.183333,0.716667
Perpignan,42.683333,2.883333
Poitiers,46.583333,0.333333
Privas,44.733333,4.6
Rodez,44.333333,2.566667
Rouen,49.433333,1.083333
Strasbourg,48.583333,7.75
Tarbes,43.233333,0.083333
Toulouse,43.6,1.433333
Troyes,48.3,4.083333
Tulle,45.266667,1.766667
Versailles,48.8,2.133333
Vesoul,47.633333,6.166667
